Entity,Code,Year,Gas production (TWh)
Albania,ALB,1931,0
Albania,ALB,1932,0
Albania,ALB,1933,0
Albania,ALB,1934,0
Albania,ALB,1935,0
Albania,ALB,1936,0
Albania,ALB,1937,0
Albania,ALB,1938,0
Albania,ALB,1939,0
Albania,ALB,1940,0
Albania,ALB,1941,0
Albania,ALB,1942,0
Albania,ALB,1943,0
Albania,ALB,1944,0
Albania,ALB,1945,0
Albania,ALB,1946,0
Albania,ALB,1947,0
Albania,ALB,1948,0
Albania,ALB,1949,0
Albania,ALB,1950,0
Albania,ALB,1951,0.06
Albania,ALB,1952,0.06
Albania,ALB,1953,0.12
Albania,ALB,1954,0.12
Albania,ALB,1955,0.181
Albania,ALB,1956,0.301
Albania,ALB,1957,0.361
Albania,ALB,1958,0.422
Albania,ALB,1959,0.482
Albania,ALB,1960,0.518
Albania,ALB,1961,0.518
Albania,ALB,1962,0.518
Albania,ALB,1963,0.518
Albania,ALB,1964,0.518
Albania,ALB,1965,0.518
Albania,ALB,1966,0.65
Albania,ALB,1967,0.795
Albania,ALB,1968,0.915
Albania,ALB,1969,1.06
Albania,ALB,1970,1.18
Albania,ALB,1971,1.517
Albania,ALB,1972,1.746
Albania,ALB,1973,2.288
Albania,ALB,1974,2.445
Albania,ALB,1975,3.613
Albania,ALB,1976,4.215
Albania,ALB,1977,4.215
Albania,ALB,1978,4.263
Albania,ALB,1979,4.384
Albania,ALB,1980,3.071
Albania,ALB,1981,3.378
Albania,ALB,1982,3.071
Albania,ALB,1983,3.378
Albania,ALB,1984,3.378
Albania,ALB,1985,3.071
Albania,ALB,1986,4.3
Albania,ALB,1987,4.914
Albania,ALB,1988,7.678
Albania,ALB,1989,7.678
Albania,ALB,1990,2.765
Albania,ALB,1991,1.531
Albania,ALB,1992,1.103
Albania,ALB,1993,0.324
Albania,ALB,1994,0.325
Albania,ALB,1995,0.325
Albania,ALB,1996,0.324
Albania,ALB,1997,0.216
Albania,ALB,1998,0.324
Albania,ALB,1999,0.216
Albania,ALB,2000,0.324
Albania,ALB,2001,0.324
Albania,ALB,2002,0.324
Albania,ALB,2003,0.324
Albania,ALB,2004,0.324
Albania,ALB,2005,0.324
Albania,ALB,2006,0.324
Albania,ALB,2007,0.107
Albania,ALB,2008,0.314
Albania,ALB,2009,0.314
Albania,ALB,2010,0.103
Albania,ALB,2011,0.103
Albania,ALB,2012,0.176
Albania,ALB,2013,0.197
Albania,ALB,2014,0.331
Albania,ALB,2015,0.362
Albania,ALB,2016,0.466
Algeria,DZA,1900,0
Algeria,DZA,1901,0
Algeria,DZA,1902,0
Algeria,DZA,1903,0
Algeria,DZA,1904,0
Algeria,DZA,1905,0
Algeria,DZA,1906,0
Algeria,DZA,1907,0
Algeria,DZA,1908,0
Algeria,DZA,1909,0
Algeria,DZA,1910,0
Algeria,DZA,1911,0
Algeria,DZA,1912,0
Algeria,DZA,1913,0
Algeria,DZA,1914,0
Algeria,DZA,1915,0
Algeria,DZA,1916,0
Algeria,DZA,1917,0
Algeria,DZA,1918,0
Algeria,DZA,1919,0
Algeria,DZA,1920,0
Algeria,DZA,1921,0
Algeria,DZA,1922,0
Algeria,DZA,1923,0
Algeria,DZA,1924,0
Algeria,DZA,1925,0
Algeria,DZA,1926,0
Algeria,DZA,1927,0
Algeria,DZA,1928,0
Algeria,DZA,1929,0
Algeria,DZA,1930,0
Algeria,DZA,1931,0
Algeria,DZA,1932,0
Algeria,DZA,1933,0
Algeria,DZA,1934,0
Algeria,DZA,1935,0
Algeria,DZA,1936,0
Algeria,DZA,1937,0
Algeria,DZA,1938,0
Algeria,DZA,1939,0
Algeria,DZA,1940,0
Algeria,DZA,1941,0
Algeria,DZA,1942,0
Algeria,DZA,1943,0
Algeria,DZA,1944,0
Algeria,DZA,1945,0
Algeria,DZA,1946,0.843
Algeria,DZA,1947,0.843
Algeria,DZA,1948,0.867
Algeria,DZA,1949,0.879
Algeria,DZA,1950,0.916
Algeria,DZA,1951,0.977
Algeria,DZA,1952,0.989
Algeria,DZA,1953,1.026
Algeria,DZA,1954,1.087
Algeria,DZA,1955,1.087
Algeria,DZA,1956,1.197
Algeria,DZA,1957,1.233
Algeria,DZA,1958,1.343
Algeria,DZA,1959,1.465
Algeria,DZA,1960,1.587
Algeria,DZA,1961,2.662
Algeria,DZA,1962,4.323
Algeria,DZA,1963,4.872
Algeria,DZA,1964,9.818
Algeria,DZA,1965,29.247
Algeria,DZA,1966,35.23
Algeria,DZA,1967,29.027
Algeria,DZA,1968,41.739
Algeria,DZA,1969,35.316
Algeria,DZA,1970,24.38
Algeria,DZA,1971,25.699
Algeria,DZA,1972,32.561
Algeria,DZA,1973,43.216
Algeria,DZA,1974,49.963
Algeria,DZA,1975,61.523
Algeria,DZA,1976,77.491
Algeria,DZA,1977,74.165
Algeria,DZA,1978,115.019
Algeria,DZA,1979,188.534
Algeria,DZA,1980,154.098
Algeria,DZA,1981,178.648
Algeria,DZA,1982,233.1
Algeria,DZA,1983,333.793
Algeria,DZA,1984,339.759
Algeria,DZA,1985,373.381
Algeria,DZA,1986,381.894
Algeria,DZA,1987,431.008
Algeria,DZA,1988,450.581
Algeria,DZA,1989,485.832
Algeria,DZA,1990,516.57
Algeria,DZA,1991,557.03
Algeria,DZA,1992,580.011
Algeria,DZA,1993,587.466
Algeria,DZA,1994,540.109
Algeria,DZA,1995,614.913
Algeria,DZA,1996,652.513
Algeria,DZA,1997,748.588
Algeria,DZA,1998,801.621
Algeria,DZA,1999,901.069
Algeria,DZA,2000,918.886
Algeria,DZA,2001,864.725
Algeria,DZA,2002,889.416
Algeria,DZA,2003,938.576
Algeria,DZA,2004,920.549
Algeria,DZA,2005,849.118
Algeria,DZA,2006,812.995
Algeria,DZA,2007,816.46
Algeria,DZA,2008,826.008
Algeria,DZA,2009,765.669
Algeria,DZA,2010,773.965
Algeria,DZA,2011,795.988
Algeria,DZA,2012,784.438
Algeria,DZA,2013,793.389
Algeria,DZA,2014,801.724
Algeria,DZA,2015,814.111
Algeria,DZA,2016,913.923
Algeria,DZA,2017,929.765
Algeria,DZA,2018,938.438
Algeria,DZA,2019,869.522
Algeria,DZA,2020,814.564
Angola,AGO,1900,0
Angola,AGO,1901,0
Angola,AGO,1902,0
Angola,AGO,1903,0
Angola,AGO,1904,0
Angola,AGO,1905,0
Angola,AGO,1906,0
Angola,AGO,1907,0
Angola,AGO,1908,0
Angola,AGO,1909,0
Angola,AGO,1910,0
Angola,AGO,1911,0
Angola,AGO,1912,0
Angola,AGO,1913,0
Angola,AGO,1914,0
Angola,AGO,1915,0
Angola,AGO,1916,0
Angola,AGO,1917,0
Angola,AGO,1918,0
Angola,AGO,1919,0
Angola,AGO,1920,0
Angola,AGO,1921,0
Angola,AGO,1922,0
Angola,AGO,1923,0
Angola,AGO,1924,0
Angola,AGO,1925,0
Angola,AGO,1926,0
Angola,AGO,1927,0
Angola,AGO,1928,0
Angola,AGO,1929,0
Angola,AGO,1930,0
Angola,AGO,1931,0
Angola,AGO,1932,0
Angola,AGO,1933,0
Angola,AGO,1934,0
Angola,AGO,1935,0
Angola,AGO,1936,0
Angola,AGO,1937,0
Angola,AGO,1938,0
Angola,AGO,1939,0
Angola,AGO,1940,0
Angola,AGO,1941,0
Angola,AGO,1942,0
Angola,AGO,1943,0
Angola,AGO,1944,0
Angola,AGO,1945,0
Angola,AGO,1946,0
Angola,AGO,1947,0
Angola,AGO,1948,0
Angola,AGO,1949,0
Angola,AGO,1950,0
Angola,AGO,1951,0
Angola,AGO,1952,0
Angola,AGO,1953,0
Angola,AGO,1954,0
Angola,AGO,1955,0
Angola,AGO,1956,0
Angola,AGO,1957,0
Angola,AGO,1958,0
Angola,AGO,1959,0
Angola,AGO,1960,0
Angola,AGO,1961,0
Angola,AGO,1962,0
Angola,AGO,1963,0
Angola,AGO,1964,0
Angola,AGO,1965,0
Angola,AGO,1966,0
Angola,AGO,1967,0
Angola,AGO,1968,0
Angola,AGO,1969,0
Angola,AGO,1970,0.518
Angola,AGO,1971,0.518
Angola,AGO,1972,0.686
Angola,AGO,1973,0.783
Angola,AGO,1974,0.819
Angola,AGO,1975,0.783
Angola,AGO,1976,0.686
Angola,AGO,1977,0.855
Angola,AGO,1978,0.855
Angola,AGO,1979,0.855
Angola,AGO,1980,2.825
Angola,AGO,1981,2.703
Angola,AGO,1982,3.071
Angola,AGO,1983,3.685
Angola,AGO,1984,3.685
Angola,AGO,1985,3.993
Angola,AGO,1986,4.3
Angola,AGO,1987,4.914
Angola,AGO,1988,5.528
Angola,AGO,1989,4.607
Angola,AGO,1990,5.835
Angola,AGO,1991,6.142
Angola,AGO,1992,6.182
Angola,AGO,1993,6.074
Angola,AGO,1994,5.639
Angola,AGO,1995,6.074
Angola,AGO,1996,6.074
Angola,AGO,1997,6.182
Angola,AGO,1998,6.291
Angola,AGO,1999,6.074
Angola,AGO,2000,6.182
Angola,AGO,2001,5.748
Angola,AGO,2002,6.724
Angola,AGO,2003,7.05
Angola,AGO,2004,8.134
Angola,AGO,2005,7.05
Angola,AGO,2006,7.375
Angola,AGO,2007,9.002
Angola,AGO,2008,7.375
Angola,AGO,2009,7.484
Angola,AGO,2010,7.961
Angola,AGO,2011,8.156
Angola,AGO,2012,8.243
Angola,AGO,2013,10.032
Angola,AGO,2014,7.928
Angola,AGO,2015,8.384
Angola,AGO,2016,18.579
Argentina,ARG,1900,0
Argentina,ARG,1901,0
Argentina,ARG,1902,0
Argentina,ARG,1903,0
Argentina,ARG,1904,0
Argentina,ARG,1905,0
Argentina,ARG,1906,0
Argentina,ARG,1907,0
Argentina,ARG,1908,0
Argentina,ARG,1909,0
Argentina,ARG,1910,0
Argentina,ARG,1911,0
Argentina,ARG,1912,0
Argentina,ARG,1913,0
Argentina,ARG,1914,0
Argentina,ARG,1915,0
Argentina,ARG,1916,0
Argentina,ARG,1917,0
Argentina,ARG,1918,0
Argentina,ARG,1919,0
Argentina,ARG,1920,0
Argentina,ARG,1921,0
Argentina,ARG,1922,0
Argentina,ARG,1923,0
Argentina,ARG,1924,0
Argentina,ARG,1925,0
Argentina,ARG,1926,0
Argentina,ARG,1927,0
Argentina,ARG,1928,0
Argentina,ARG,1929,2.885
Argentina,ARG,1930,3.208
Argentina,ARG,1931,3.531
Argentina,ARG,1932,3.854
Argentina,ARG,1933,4.178
Argentina,ARG,1934,4.501
Argentina,ARG,1935,4.824
Argentina,ARG,1936,5.147
Argentina,ARG,1937,5.47
Argentina,ARG,1938,5.537
Argentina,ARG,1939,5.603
Argentina,ARG,1940,5.67
Argentina,ARG,1941,5.737
Argentina,ARG,1942,5.804
Argentina,ARG,1943,5.87
Argentina,ARG,1944,5.937
Argentina,ARG,1945,6.004
Argentina,ARG,1946,6.071
Argentina,ARG,1947,6.253
Argentina,ARG,1948,4.794
Argentina,ARG,1949,7.122
Argentina,ARG,1950,8.098
Argentina,ARG,1951,8.902
Argentina,ARG,1952,9.631
Argentina,ARG,1953,7.486
Argentina,ARG,1954,7.583
Argentina,ARG,1955,7.712
Argentina,ARG,1956,8.194
Argentina,ARG,1957,9.138
Argentina,ARG,1958,9.288
Argentina,ARG,1959,9.235
Argentina,ARG,1960,14.833
Argentina,ARG,1961,25.28
Argentina,ARG,1962,31.94
Argentina,ARG,1963,36.53
Argentina,ARG,1964,40.231
Argentina,ARG,1965,45.282
Argentina,ARG,1966,49.09
Argentina,ARG,1967,51.503
Argentina,ARG,1968,57.338
Argentina,ARG,1969,57.552
Argentina,ARG,1970,58.544
Argentina,ARG,1971,63.266
Argentina,ARG,1972,60.139
Argentina,ARG,1973,65.488
Argentina,ARG,1974,70.487
Argentina,ARG,1975,74.805
Argentina,ARG,1976,71.323
Argentina,ARG,1977,73.618
Argentina,ARG,1978,75.952
Argentina,ARG,1979,70.312
Argentina,ARG,1980,81.646
Argentina,ARG,1981,84.953
Argentina,ARG,1982,95.208
Argentina,ARG,1983,127.786
Argentina,ARG,1984,131.093
Argentina,ARG,1985,135.08
Argentina,ARG,1986,150.835
Argentina,ARG,1987,147.334
Argentina,ARG,1988,174.661
Argentina,ARG,1989,184.678
Argentina,ARG,1990,173.494
Argentina,ARG,1991,193.819
Argentina,ARG,1992,195.375
Argentina,ARG,1993,209.282
Argentina,ARG,1994,216.576
Argentina,ARG,1995,243.222
Argentina,ARG,1996,281.344
Argentina,ARG,1997,266.27
Argentina,ARG,1998,287.763
Argentina,ARG,1999,336.193
Argentina,ARG,2000,363.812
Argentina,ARG,2001,361.186
Argentina,ARG,2002,351.17
Argentina,ARG,2003,399.114
Argentina,ARG,2004,436.458
Argentina,ARG,2005,443.752
Argentina,ARG,2006,448.322
Argentina,ARG,2007,435.972
Argentina,ARG,2008,428.484
Argentina,ARG,2009,403.012
Argentina,ARG,2010,389.97
Argentina,ARG,2011,377.178
Argentina,ARG,2012,366.912
Argentina,ARG,2013,345.559
Argentina,ARG,2014,344.859
Argentina,ARG,2015,354.911
Argentina,ARG,2016,372.824
Argentina,ARG,2017,371.499
Argentina,ARG,2018,394.254
Argentina,ARG,2019,416.158
Argentina,ARG,2020,382.916
Armenia,ARM,1992,0
Armenia,ARM,1993,0
Armenia,ARM,1994,0
Armenia,ARM,1995,0
Armenia,ARM,1996,0
Armenia,ARM,1997,0
Armenia,ARM,1998,0
Armenia,ARM,1999,0
Armenia,ARM,2000,0
Armenia,ARM,2001,0
Armenia,ARM,2002,0
Armenia,ARM,2003,0
Armenia,ARM,2004,0
Armenia,ARM,2005,0
Armenia,ARM,2006,0
Armenia,ARM,2007,0
Armenia,ARM,2008,0
Armenia,ARM,2009,0
Armenia,ARM,2010,0
Armenia,ARM,2011,0
Armenia,ARM,2012,0
Armenia,ARM,2013,0
Armenia,ARM,2014,0
Armenia,ARM,2015,0
Armenia,ARM,2016,0
Asia Pacific,,1970,151.017
Asia Pacific,,1971,178.608
Asia Pacific,,1972,207.667
Asia Pacific,,1973,257.718
Asia Pacific,,1974,313.509
Asia Pacific,,1975,355.137
Asia Pacific,,1976,409.63
Asia Pacific,,1977,498.739
Asia Pacific,,1978,593.484
Asia Pacific,,1979,674.993
Asia Pacific,,1980,719.016
Asia Pacific,,1981,722.374
Asia Pacific,,1982,750.674
Asia Pacific,,1983,847.51
Asia Pacific,,1984,986.284
Asia Pacific,,1985,1069.348
Asia Pacific,,1986,1179.927
Asia Pacific,,1987,1255.244
Asia Pacific,,1988,1340.995
Asia Pacific,,1989,1383.829
Asia Pacific,,1990,1492.519
Asia Pacific,,1991,1623.866
Asia Pacific,,1992,1717.184
Asia Pacific,,1993,1818.413
Asia Pacific,,1994,1982.165
Asia Pacific,,1995,2083.016
Asia Pacific,,1996,2274.243
Asia Pacific,,1997,2421.38
Asia Pacific,,1998,2461.194
Asia Pacific,,1999,2615.251
Asia Pacific,,2000,2774.547
Asia Pacific,,2001,2854.937
Asia Pacific,,2002,3040.873
Asia Pacific,,2003,3232.613
Asia Pacific,,2004,3443.775
Asia Pacific,,2005,3720.243
Asia Pacific,,2006,3895.23
Asia Pacific,,2007,4070.56
Asia Pacific,,2008,4262.725
Asia Pacific,,2009,4445.349
Asia Pacific,,2010,4881.119
Asia Pacific,,2011,4925.562
Asia Pacific,,2012,5021.165
Asia Pacific,,2013,5121.86
Asia Pacific,,2014,5332.683
Asia Pacific,,2015,5600.335
Asia Pacific,,2016,5790.35
Asia Pacific,,2017,6046.195
Asia Pacific,,2018,6266.163
Asia Pacific,,2019,6582.405
Asia Pacific,,2020,6520.775
Asia and Oceania,,1900,0
Asia and Oceania,,1901,0
Asia and Oceania,,1902,0
Asia and Oceania,,1903,0
Asia and Oceania,,1904,0
Asia and Oceania,,1905,0
Asia and Oceania,,1906,0
Asia and Oceania,,1907,0
Asia and Oceania,,1908,0
Asia and Oceania,,1909,0
Asia and Oceania,,1910,0
Asia and Oceania,,1911,0
Asia and Oceania,,1912,0
Asia and Oceania,,1913,0
Asia and Oceania,,1914,0
Asia and Oceania,,1915,0
Asia and Oceania,,1916,0
Asia and Oceania,,1917,0
Asia and Oceania,,1918,0
Asia and Oceania,,1919,0
Asia and Oceania,,1920,0
Asia and Oceania,,1921,0
Asia and Oceania,,1922,1.651
Asia and Oceania,,1923,2.141
Asia and Oceania,,1924,2.631
Asia and Oceania,,1925,3.121
Asia and Oceania,,1926,3.611
Asia and Oceania,,1927,4.101
Asia and Oceania,,1928,4.591
Asia and Oceania,,1929,6.154
Asia and Oceania,,1930,6.055
Asia and Oceania,,1931,6.786
Asia and Oceania,,1932,7.518
Asia and Oceania,,1933,8.25
Asia and Oceania,,1934,8.981
Asia and Oceania,,1935,9.713
Asia and Oceania,,1936,10.444
Asia and Oceania,,1937,12.472
Asia and Oceania,,1938,0.527
Asia and Oceania,,1939,0.512
Asia and Oceania,,1940,0.497
Asia and Oceania,,1941,0.482
Asia and Oceania,,1942,0.467
Asia and Oceania,,1943,0.452
Asia and Oceania,,1944,0.437
Asia and Oceania,,1945,0.421
Asia and Oceania,,1946,1.22
Asia and Oceania,,1947,1.324
Asia and Oceania,,1948,5.706
Asia and Oceania,,1949,8.001
Asia and Oceania,,1950,8.571
Asia and Oceania,,1951,11.303
Asia and Oceania,,1952,14.777
Asia and Oceania,,1953,18.743
Asia and Oceania,,1954,21.893
Asia and Oceania,,1955,27.865
Asia and Oceania,,1956,33.022
Asia and Oceania,,1957,37.476
Asia and Oceania,,1958,39.433
Asia and Oceania,,1959,46.011
Asia and Oceania,,1960,57.031
Asia and Oceania,,1961,64.967
Asia and Oceania,,1962,74.21
Asia and Oceania,,1963,85.219
Asia and Oceania,,1964,92.168
Asia and Oceania,,1965,103.577
Asia and Oceania,,1966,109.185
Asia and Oceania,,1967,116.785
Asia and Oceania,,1968,160.707
Asia and Oceania,,1969,163.067
Asia and Oceania,,1970,194.705
Asia and Oceania,,1971,224.93
Asia and Oceania,,1972,265.136
Asia and Oceania,,1973,336.805
Asia and Oceania,,1974,449.757
Asia and Oceania,,1975,493.557
Asia and Oceania,,1976,576.248
Asia and Oceania,,1977,645.688
Asia and Oceania,,1978,739.318
Asia and Oceania,,1979,812.459
Asia and Oceania,,1980,791.582
Asia and Oceania,,1981,841.473
Asia and Oceania,,1982,856.272
Asia and Oceania,,1983,950.92
Asia and Oceania,,1984,1111.575
Asia and Oceania,,1985,1237.739
Asia and Oceania,,1986,1331.094
Asia and Oceania,,1987,1409.785
Asia and Oceania,,1988,1518.401
Asia and Oceania,,1989,1578.22
Asia and Oceania,,1990,1702.011
Asia and Oceania,,1991,1792.346
Asia and Oceania,,1992,1897.852
Asia and Oceania,,1993,2024.048
Asia and Oceania,,1994,2216.836
Asia and Oceania,,1995,2363.231
Asia and Oceania,,1996,2538.211
Asia and Oceania,,1997,2649.754
Asia and Oceania,,1998,2655.388
Asia and Oceania,,1999,2817.412
Asia and Oceania,,2000,2826.719
Asia and Oceania,,2001,2797.954
Asia and Oceania,,2002,3063.931
Asia and Oceania,,2003,3219.729
Asia and Oceania,,2004,3314.896
Asia and Oceania,,2005,3614.62
Asia and Oceania,,2006,3985.229
Asia and Oceania,,2007,4271.061
Asia and Oceania,,2008,4455.576
Asia and Oceania,,2009,4695.682
Asia and Oceania,,2010,5253.598
Asia and Oceania,,2011,5257.359
Asia and Oceania,,2012,5264.224
Asia and Oceania,,2013,5404.744
Asia and Oceania,,2014,5583.583
Asia and Oceania,,2015,5800.526
Asia and Oceania,,2016,6057.879
Australia,AUS,1900,0
Australia,AUS,1901,0
Australia,AUS,1902,0
Australia,AUS,1903,0
Australia,AUS,1904,0
Australia,AUS,1905,0
Australia,AUS,1906,0
Australia,AUS,1907,0
Australia,AUS,1908,0
Australia,AUS,1909,0
Australia,AUS,1910,0
Australia,AUS,1911,0
Australia,AUS,1912,0
Australia,AUS,1913,0
Australia,AUS,1914,0
Australia,AUS,1915,0
Australia,AUS,1916,0
Australia,AUS,1917,0
Australia,AUS,1918,0
Australia,AUS,1919,0
Australia,AUS,1920,0
Australia,AUS,1921,0
Australia,AUS,1922,0
Australia,AUS,1923,0
Australia,AUS,1924,0
Australia,AUS,1925,0
Australia,AUS,1926,0
Australia,AUS,1927,0
Australia,AUS,1928,0
Australia,AUS,1929,0
Australia,AUS,1930,0
Australia,AUS,1931,0
Australia,AUS,1932,0
Australia,AUS,1933,0
Australia,AUS,1934,0
Australia,AUS,1935,0
Australia,AUS,1936,0
Australia,AUS,1937,0
Australia,AUS,1938,0
Australia,AUS,1939,0
Australia,AUS,1940,0
Australia,AUS,1941,0
Australia,AUS,1942,0
Australia,AUS,1943,0
Australia,AUS,1944,0
Australia,AUS,1945,0
Australia,AUS,1946,0
Australia,AUS,1947,0
Australia,AUS,1948,0
Australia,AUS,1949,0
Australia,AUS,1950,0
Australia,AUS,1951,0
Australia,AUS,1952,0
Australia,AUS,1953,0
Australia,AUS,1954,0
Australia,AUS,1955,0
Australia,AUS,1956,0
Australia,AUS,1957,0
Australia,AUS,1958,0
Australia,AUS,1959,0
Australia,AUS,1960,0
Australia,AUS,1961,0
Australia,AUS,1962,0.023
Australia,AUS,1963,0.034
Australia,AUS,1964,0.034
Australia,AUS,1965,0.046
Australia,AUS,1966,0.046
Australia,AUS,1967,0.046
Australia,AUS,1968,0.069
Australia,AUS,1969,3.047
Australia,AUS,1970,17.304
Australia,AUS,1971,25.827
Australia,AUS,1972,37.074
Australia,AUS,1973,47.069
Australia,AUS,1974,53.702
Australia,AUS,1975,57.67
Australia,AUS,1976,68.077
Australia,AUS,1977,77.768
Australia,AUS,1978,83.725
Australia,AUS,1979,96.375
Australia,AUS,1980,110.666
Australia,AUS,1981,119.944
Australia,AUS,1982,116.981
Australia,AUS,1983,127.075
Australia,AUS,1984,125.317
Australia,AUS,1985,133.953
Australia,AUS,1986,146.329
Australia,AUS,1987,149.395
Australia,AUS,1988,152.993
Australia,AUS,1989,177.076
Australia,AUS,1990,206.111
Australia,AUS,1991,215.765
Australia,AUS,1992,233.336
Australia,AUS,1993,243.839
Australia,AUS,1994,279.912
Australia,AUS,1995,295.96
Australia,AUS,1996,296.337
Australia,AUS,1997,296.376
Australia,AUS,1998,302.737
Australia,AUS,1999,307.125
Australia,AUS,2000,311.923
Australia,AUS,2001,326.413
Australia,AUS,2002,330.012
Australia,AUS,2003,337.452
Australia,AUS,2004,359.303
Australia,AUS,2005,382.353
Australia,AUS,2006,406.822
Australia,AUS,2007,427.512
Australia,AUS,2008,416.829
Australia,AUS,2009,466.976
Australia,AUS,2010,526.255
Australia,AUS,2011,541.633
Australia,AUS,2012,579.62
Australia,AUS,2013,602.5
Australia,AUS,2014,649.276
Australia,AUS,2015,740.985
Australia,AUS,2016,939.979
Australia,AUS,2017,1101.246
Australia,AUS,2018,1260.158
Australia,AUS,2019,1431.49
Australia,AUS,2020,1425.16
Austria,AUT,1900,0
Austria,AUT,1901,0
Austria,AUT,1902,0
Austria,AUT,1903,0
Austria,AUT,1904,0
Austria,AUT,1905,0
Austria,AUT,1906,0
Austria,AUT,1907,0
Austria,AUT,1908,0
Austria,AUT,1909,0
Austria,AUT,1910,0
Austria,AUT,1911,0
Austria,AUT,1912,0
Austria,AUT,1913,0
Austria,AUT,1914,0
Austria,AUT,1915,0
Austria,AUT,1916,0
Austria,AUT,1917,0
Austria,AUT,1918,0
Austria,AUT,1919,0
Austria,AUT,1920,0
Austria,AUT,1921,0
Austria,AUT,1922,0
Austria,AUT,1923,0
Austria,AUT,1924,0
Austria,AUT,1925,0
Austria,AUT,1926,0
Austria,AUT,1927,0
Austria,AUT,1928,0
Austria,AUT,1929,0
Austria,AUT,1930,0
Austria,AUT,1931,0
Austria,AUT,1932,0
Austria,AUT,1933,0
Austria,AUT,1934,0
Austria,AUT,1935,0
Austria,AUT,1936,0
Austria,AUT,1937,0
Austria,AUT,1938,0
Austria,AUT,1939,0
Austria,AUT,1940,0
Austria,AUT,1941,0
Austria,AUT,1942,0
Austria,AUT,1943,0
Austria,AUT,1944,0
Austria,AUT,1945,0
Austria,AUT,1946,0.511
Austria,AUT,1947,0.589
Austria,AUT,1948,2.678
Austria,AUT,1949,0.6
Austria,AUT,1950,5.222
Austria,AUT,1951,5.367
Austria,AUT,1952,4.978
